Bicentennial Man,1999,74 Metascore,Chris Columbus,$106.95M
Big Fish,2003,74 Metascore,Tim Burton,$92.05M
Big Hero 6,2014,87 Metascore,Don Hall,$57.37M
Billy Elliot,2000,83 Metascore,Stephen Daldry,$33.41M
Birdman or (The Unexpected Virtue of Ignorance),2014,74 Metascore,Alejandro G. Iñárritu,$9.74M
BlacKkKlansman,2018,88 Metascore,Spike Lee,$216.43M
Black Hawk Down,2001,67 Metascore,Ridley Scott,$114.05M
Black Panther,2018,79 Metascore,Ryan Coogler,$128.51M
Black Panther: Wakanda Forever,2022,81 Metascore,Ryan Coogler,$25.38M
Black Swan,2010,50 Metascore,Darren Aronofsky,$11.53M
Blade Runner 2049,2017,64 Metascore,Denis Villeneuve,$237.28M
Blonde,2022,78 Metascore,Andrew Dominik,$40.71M
Blood Diamond,2006,81 Metascore,Edward Zwick,$169.11M
Blue Jasmine,2013,49 Metascore,Woody Allen,$72.31M
Blue Valentine,2010,67 Metascore,Derek Cianfrance,$71.54M
Bohemian Rhapsody,2018,64 Metascore,Bryan Singer,$4.44M
Bolt,2008,68 Metascore,Byron Howard,$83.04M
Bombshell,I 2019,89 Metascore,Jay Roach,$38.32M
Borat Subsequent Moviefilm,2020,100 Metascore,Jason Woliner,$85.34M
Borat,2006,86 Metascore,Larry Charles,$18.10M
Boyhood,I 2014,69 Metascore,Richard Linklater,$8.80M
Boys Don't Cry,1999,46 Metascore,Kimberly Peirce,$28.75M
Brave,2012,75 Metascore,Mark Andrews,$259.77M
Breakthrough,2019,81 Metascore,Roxann Dawson,$5.88M
Bridesmaids,I 2011,66 Metascore,Paul Feig,$107.10M
Bridge of Spies,2015,81 Metascore,Steven Spielberg,$12.71M
Bridget Jones's Diary,2001,87 Metascore,Sharon Maguire,$244.08M
Bright Star,2009,88 Metascore,Jane Campion,$233.63M
Brokeback Mountain,2005,48 Metascore,Ang Lee,$164.62M
Brooklyn,2015,72 Metascore,John Crowley,$35.74M
Brother Bear,2003,94 Metascore,Aaron Blaise,$66.66M
CODA,2021,87 Metascore,Sian Heder,$206.46M
Call Me by Your Name,2017,88 Metascore,Luca Guadagnino,$170.69M
Can You Ever Forgive Me?,2018,70 Metascore,Marielle Heller,$0.35M
Capote,2005,72 Metascore,Bennett Miller,$35.55M
Captain America: The Winter Soldier,2014,82 Metascore,Anthony Russo,$71.51M
Captain Fantastic,2016,94 Metascore,Matt Ross,$99.22M
Captain Phillips,2013,73 Metascore,Paul Greengrass,$201.15M
Carol,2015,73 Metascore,Todd Haynes,$61.65M
Cars,2006,75 Metascore,John Lasseter,$137.36M
Cast Away,2000,66 Metascore,Robert Zemeckis,$33.99M
Catch Me If You Can,2002,63 Metascore,Steven Spielberg,$209.73M
Causeway,2022,67 Metascore,Lila Neugebauer,$6.11M
Changeling,2008,72 Metascore,Clint Eastwood,$95.64M
Charlie Wilson's War,2007,81 Metascore,Mike Nichols,$101.01M
Charlie and the Chocolate Factory,2005,76 Metascore,Tim Burton,$75.29M
Chicago,2002,84 Metascore,Rob Marshall,$53.36M
Chico & Rita,2010,64 Metascore,Tono Errando,$20.22M
Children of Men,2006,60 Metascore,Alfonso Cuarón,$54.58M
China's Unnatural Disaster: The Tears of Sichuan Province,2009 TV Movie,67 Metascore,Jon Alpert,$39.46M
Chocolat,2000,69 Metascore,Lasse Hallström,$109.77M
Christopher Robin,2018,45 Metascore,Marc Forster,$86.10M
Cinderella,I 2015,81 Metascore,Kenneth Branagh,$27.30M
Cinderella Man,2005,65 Metascore,Ron Howard,$4.18M
Click,2006,81 Metascore,Frank Coraci,$56.47M
Close,I 2022,65 Metascore,Lukas Dhont,$208.55M
Closer,I 2004,73 Metascore,Mike Nichols,$0.00M
Coco,I 2017,71 Metascore,Lee Unkrich,$61.43M
